,Isotope,2,5,10,20,30,40,50,60,70
0,U-233,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
1,U-234,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
2,U-235,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
3,U-236,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
4,U-237,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
5,U-238,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
6,U-239,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
7,Np-234,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
8,Np-235,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
9,Np-236,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
10,Np-237,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
11,Np-238,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
12,Np-239,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
13,Np-240,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
14,Pu-235,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
15,Pu-236,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
16,Pu-237,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
17,Pu-238,00.00,00.00,00.00,00.00,00.01,00.02,00.04,00.07,00.09
18,Pu-239,96.89,92.06,84.47,71.64,62.06,55.04,49.71,45.38,41.66
19,Pu-240,02.90,06.72,11.28,15.71,16.63,16.04,14.96,13.80,12.73
20,Pu-241,00.20,01.18,03.97,10.80,16.27,19.22,19.97,19.38,18.22
21,Pu-242,00.00,00.03,00.24,01.51,03.99,07.33,10.89,14.03,16.33
22,Pu-243,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.01
23,Am-240,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
24,Am-241,00.00,00.01,00.04,00.19,00.42,00.59,00.67,00.65,00.58
25,Am-242,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
26,Am-242m,00.00,00.00,00.00,00.02,00.05,00.07,00.09,00.09,00.08
27,Am-243,00.00,00.00,00.01,00.11,00.49,01.30,02.60,04.26,05.97
28,Am-244,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.01
29,Cm-242,00.00,00.00,00.00,00.00,00.01,00.02,00.04,00.04,00.05
30,Cm-243,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
31,Cm-244,00.00,00.00,00.00,00.01,00.08,00.34,00.96,02.14,03.96
32,Cm-245,00.00,00.00,00.00,00.00,00.00,00.02,00.06,00.15,00.32
33,Lumped-Act.,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
34,FPs,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
Total,,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
