,Isotope,Conc-init,Conc-final
0,U-233,0.0,0.0
1,U-234,0.0,1.292300743540075e-07
2,U-235,5.0,1.9440948723990004
3,U-236,0.0,0.6833440471493534
4,U-237,0.0,1.2541905843517675e-09
5,U-238,95.0,83.75512360851516
6,U-239,0.0,0.00011226713013620681
7,Np-234,0.0,0.0
8,Np-235,0.0,0.0
9,Np-236,0.0,0.0
10,Np-237,0.0,3.824406056901159e-06
11,Np-238,0.0,3.759007172149348e-09
12,Np-239,0.0,0.016250157479352982
13,Np-240,0.0,0.0
14,Pu-235,0.0,0.0
15,Pu-236,0.0,0.0
16,Pu-237,0.0,0.0
17,Pu-238,0.0,1.9412605523522735e-05
18,Pu-239,0.0,6.4854564122296114
19,Pu-240,0.0,0.7012579768685959
20,Pu-241,0.0,0.03982712488691053
21,Pu-242,0.0,0.0018834974367088187
22,Pu-243,0.0,4.6930507884128514e-08
23,Am-240,0.0,0.0
24,Am-241,0.0,0.002371639173115663
25,Am-242,0.0,9.877998370767404e-08
26,Am-242m,0.0,0.0002679294264317585
27,Am-243,0.0,6.91702127503669e-05
28,Am-244,0.0,1.4356303913478732e-08
29,Cm-242,0.0,1.3034824428796145e-05
30,Cm-243,0.0,6.261339550702095e-07
31,Cm-244,0.0,7.561972090069867e-06
32,Cm-245,0.0,1.9583610736433912e-07
33,Lumped-Act.,0.0,1.3667152255087855e-07
34,FPs,0.0,6.369896201534959
Total,,100.0,99.99999999120185
