,Isotope,Conc-init,Conc-final
0,U-233,0.0,0.0
1,U-234,0.0,0.004743123139010554
2,U-235,5.0,0.2963647055552284
3,U-236,0.0,0.042668988677098965
4,U-237,0.0,1.090508802444424e-07
5,U-238,95.0,68.9131262598137
6,U-239,0.0,6.805114783515032e-06
7,Np-234,0.0,0.0
8,Np-235,0.0,0.0
9,Np-236,0.0,0.0
10,Np-237,0.0,0.015001849203874313
11,Np-238,0.0,7.333442331126853e-06
12,Np-239,0.0,0.0009850978499172918
13,Np-240,0.0,0.0
14,Pu-235,0.0,0.0
15,Pu-236,0.0,0.0
16,Pu-237,0.0,0.0
17,Pu-238,0.0,0.1175657344208552
18,Pu-239,0.0,2.8299166315437656
19,Pu-240,0.0,1.7905268521843407
20,Pu-241,0.0,3.4125040096642723
21,Pu-242,0.0,3.9692299383190446
22,Pu-243,0.0,0.00016644443229612768
23,Am-240,0.0,0.0
24,Am-241,0.0,1.2477785110758903
25,Am-242,0.0,7.312934208668763e-05
26,Am-242m,0.0,0.1717914801069544
27,Am-243,0.0,1.4894320830038448
28,Am-244,0.0,0.00021653319195316843
29,Cm-242,0.0,0.0139151709375798
30,Cm-243,0.0,0.00033671830541739446
31,Cm-244,0.0,0.6307563978730301
32,Cm-245,0.0,0.046470596940722836
33,Lumped-Act.,0.0,2.034375555873979e-07
34,FPs,0.0,15.000788979231364
Total,,100.0,99.99437368585778
