,Isotope,2,5,10,20,30,40,50,60,70
0,U-233,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
1,U-234,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
2,U-235,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
3,U-236,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
4,U-237,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
5,U-238,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
6,U-239,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
7,Np-234,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
8,Np-235,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
9,Np-236,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
10,Np-237,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
11,Np-238,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
12,Np-239,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
13,Np-240,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
14,Pu-235,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
15,Pu-236,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
16,Pu-237,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
17,Pu-238,00.00,00.00,00.00,00.00,00.01,00.02,00.05,00.07,00.09
18,Pu-239,97.14,92.66,85.55,73.34,64.04,57.14,51.84,47.49,43.74
19,Pu-240,02.67,06.21,10.49,14.77,15.76,15.29,14.33,13.27,12.27
20,Pu-241,00.18,01.09,03.69,10.15,15.42,18.32,19.13,18.63,17.57
21,Pu-242,00.00,00.03,00.22,01.42,03.78,06.99,10.43,13.49,15.74
22,Pu-243,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.01
23,Am-240,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
24,Am-241,00.00,00.01,00.03,00.18,00.39,00.57,00.64,00.63,00.56
25,Am-242,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
26,Am-242m,00.00,00.00,00.00,00.02,00.05,00.07,00.08,00.08,00.08
27,Am-243,00.00,00.00,00.01,00.10,00.46,01.24,02.49,04.09,05.76
28,Am-244,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.01
29,Cm-242,00.00,00.00,00.00,00.00,00.01,00.02,00.03,00.04,00.05
30,Cm-243,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
31,Cm-244,00.00,00.00,00.00,00.01,00.08,00.32,00.92,02.06,03.82
32,Cm-245,00.00,00.00,00.00,00.00,00.00,00.02,00.05,00.15,00.31
33,Lumped-Act.,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
34,FPs,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
Total,,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
